id_venda,data_venda,ano,trimestre,mes,mes_venda,id_cliente,nome_cliente,cidade,estado,regiao,id_produto,produto,categoria,quantidade,preco_unitario,desconto,valor_desconto,receita_total,faixa_receita_item,previsao_entrega,data_entrega,desvio_entrega_dias,atrasado
ORD00011,2025-01-01,2025,Q1,1,Janeiro,Cliente_215,Olivia Souza,Camaçari,BA,Nordeste,P0019,Mouse Redragon Wireless,Informática,2,165.99,0.1257,41.72,290.26,Baixo Valor,2025-01-06,2025-01-11,5,True
ORD00012,2025-01-01,2025,Q1,1,Janeiro,Cliente_218,Isabel Pereira,Vila Velha,ES,Sudeste,P0020,Teclado Mecanico Fizz,Informática,3,174.9,0.1191,62.49,462.21,Baixo Valor,2025-01-05,2025-01-03,-2,False
ORD00013,2025-01-01,2025,Q1,1,Janeiro,Cliente_230,Maria Nogueira,Bayeux,PB,Nordeste,P0004,Carregador Turbo Tipo-C 50w,Acessórios Mobile,3,53.9,0.1391,22.5,139.2,Baixo Valor,2025-01-05,2025-01-05,0,False
ORD00014,2025-01-01,2025,Q1,1,Janeiro,Cliente_300,Dra. Maria Sophia Nogueira,Chapecó,SC,Sul,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,2,124.91,0.0209,5.22,244.6,Baixo Valor,2025-01-05,2025-01-03,-2,False
ORD00015,2025-01-01,2025,Q1,1,Janeiro,Cliente_314,Nina Ramos,Laranjal do Jari,AP,Norte,P0008,Película de Vidro 3D Galaxy A30s,Acessórios Mobile,3,17.9,0.103,5.52,48.18,Baixo Valor,2025-01-05,2025-01-05,0,False
ORD00016,2025-01-01,2025,Q1,1,Janeiro,Cliente_314,Nina Ramos,Laranjal do Jari,AP,Norte,P0015,Fone de Ouvido Profissional AKG K92,Áudio,4,428.99,0.2543,436.36,1279.6,Médio Valor,2025-01-09,2025-01-09,0,False
ORD00017,2025-01-01,2025,Q1,1,Janeiro,Cliente_326,Emanuella Porto,Ferreira Gomes,AP,Norte,P0018,"Monitor UHD Samsung 32""",Informática,2,1626.57,0.0514,167.22,3085.92,Médio Valor,2025-01-08,2025-01-07,-1,False
ORD00018,2025-01-01,2025,Q1,1,Janeiro,Cliente_331,Guilherme Cavalcanti,Juiz de Fora,MG,Sudeste,P0027,Caixa de Som Bluetooth JBL,Áudio,3,549.9,0.0557,91.89,1557.81,Médio Valor,2025-01-06,2025-01-04,-2,False
ORD00019,2025-01-01,2025,Q1,1,Janeiro,Cliente_356,Matheus Ribeiro,Londrina,PR,Sul,P0004,Carregador Turbo Tipo-C 50w,Acessórios Mobile,4,53.9,0.1434,30.92,184.68,Baixo Valor,2025-01-07,2025-01-07,0,False
ORD00020,2025-01-01,2025,Q1,1,Janeiro,Cliente_356,Matheus Ribeiro,Londrina,PR,Sul,P0009,Smart TV 32” Philco LED Roku TV,TV e Projeção,3,949.0,0.0236,67.2,2779.8,Médio Valor,2025-01-05,2025-01-04,-1,False
ORD00021,2025-01-01,2025,Q1,1,Janeiro,Cliente_360,Mariane Campos,Teresina,PI,Nordeste,P0010,"Smart TV LED 32""Samsung LED Tizen TV",TV e Projeção,2,1079.0,0.1019,219.9,1938.1,Médio Valor,2025-01-06,2025-01-05,-1,False
ORD00022,2025-01-01,2025,Q1,1,Janeiro,Cliente_365,Diogo Nascimento,Vila Velha,ES,Sudeste,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,4,124.91,0.0395,19.72,479.92,Baixo Valor,2025-01-06,2025-01-04,-2,False
ORD00023,2025-01-01,2025,Q1,1,Janeiro,Cliente_371,Ana Luiza Nunes,Joinville,SC,Sul,P0011,"Soundbar Samsung com 2.1 canais, Dolby Digital",Áudio,3,1072.0,0.0863,277.53,2938.47,Médio Valor,2025-01-06,2025-01-08,2,True
ORD00024,2025-01-01,2025,Q1,1,Janeiro,Cliente_411,Stephany Almeida,Santo André,SP,Sudeste,P0011,"Soundbar Samsung com 2.1 canais, Dolby Digital",Áudio,3,1072.0,0.1155,371.46,2844.54,Médio Valor,2025-01-07,2025-01-04,-3,False
ORD00025,2025-01-01,2025,Q1,1,Janeiro,Cliente_430,Guilherme Silveira Gomes,Caxias do Sul,RS,Sul,P0004,Carregador Turbo Tipo-C 50w,Acessórios Mobile,4,53.9,0.0696,15.0,200.6,Baixo Valor,2025-01-07,2025-01-06,-1,False
ORD00028,2025-01-01,2025,Q1,1,Janeiro,Cliente_528,Thiago Mata Mendes,Niterói,RJ,Sudeste,P0025,Webcam Logitech Full HD,Informática,2,329.9,0.0744,49.08,610.72,Médio Valor,2025-01-04,2025-01-03,-1,False
ORD00029,2025-01-02,2025,Q1,1,Janeiro,Cliente_012,Dr. Arthur da Cunha,Caracaraí,RR,Norte,P0015,Fone de Ouvido Profissional AKG K92,Áudio,4,428.99,0.2814,482.88,1233.08,Médio Valor,2025-01-08,2025-01-12,4,True
ORD00030,2025-01-02,2025,Q1,1,Janeiro,Cliente_016,Sr. Thomas Nascimento,Tarauacá,AC,Norte,P0013,"Projetor Smart Epson EpiqVision, FULL HD",TV e Projeção,1,3049.99,0.0919,280.29,2769.7,Médio Valor,2025-01-06,2025-01-06,0,False
ORD00031,2025-01-02,2025,Q1,1,Janeiro,Cliente_019,Gabriela da Paz,Uberlândia,MG,Sudeste,P0004,Carregador Turbo Tipo-C 50w,Acessórios Mobile,2,53.9,0.1592,17.16,90.64,Baixo Valor,2025-01-06,2025-01-10,4,True
ORD00032,2025-01-02,2025,Q1,1,Janeiro,Cliente_036,Bryan Pires,Manacapuru,AM,Norte,P0014,Projetor EPSON Powerlite Wide Screen,TV e Projeção,2,2742.13,0.1577,864.86,4619.4,Médio Valor,2025-01-08,2025-01-07,-1,False
ORD00033,2025-01-02,2025,Q1,1,Janeiro,Cliente_043,Luiz Fernando Moura,Vilhena,RO,Norte,P0027,Caixa de Som Bluetooth JBL,Áudio,2,549.9,0.0572,62.9,1036.9,Médio Valor,2025-01-07,2025-01-07,0,False
ORD00034,2025-01-02,2025,Q1,1,Janeiro,Cliente_045,Juan Mendes,Ji-Paraná,RO,Norte,P0008,Película de Vidro 3D Galaxy A30s,Acessórios Mobile,4,17.9,0.1232,8.84,62.76,Baixo Valor,2025-01-09,2025-01-11,2,True
ORD00035,2025-01-02,2025,Q1,1,Janeiro,Cliente_061,Dr. Emanuel Fogaça,Porto Nacional,TO,Norte,P0006,Fone de ouvido Sem Fio QCY T27,Áudio,1,129.86,0.0483,6.27,123.59,Baixo Valor,2025-01-09,2025-01-12,3,True
ORD00036,2025-01-02,2025,Q1,1,Janeiro,Cliente_082,Felipe Gomes,Caicó,RN,Nordeste,P0020,Teclado Mecanico Fizz,Informática,3,174.9,0.0937,49.17,475.53,Baixo Valor,2025-01-07,2025-01-08,1,True
ORD00037,2025-01-02,2025,Q1,1,Janeiro,Cliente_100,Beatriz Costa,Bom Jesus,PI,Nordeste,P0011,"Soundbar Samsung com 2.1 canais, Dolby Digital",Áudio,3,1072.0,0.1403,451.2,2764.8,Médio Valor,2025-01-08,2025-01-08,0,False
ORD00038,2025-01-02,2025,Q1,1,Janeiro,Cliente_123,Sra. Isabelly Oliveira,Ribeirão Preto,SP,Sudeste,P0019,Mouse Redragon Wireless,Informática,2,165.99,0.117,38.84,293.14,Baixo Valor,2025-01-08,2025-01-10,2,True
ORD00039,2025-01-02,2025,Q1,1,Janeiro,Cliente_139,Sr. Daniel Pinto,Nova Iguaçu,RJ,Sudeste,P0015,Fone de Ouvido Profissional AKG K92,Áudio,1,428.99,0.145,62.2,366.79,Baixo Valor,2025-01-08,2025-01-07,-1,False
ORD00040,2025-01-02,2025,Q1,1,Janeiro,Cliente_172,Luiz Gustavo Rocha,Porto Alegre,RS,Sul,P0027,Caixa de Som Bluetooth JBL,Áudio,2,549.9,0.0422,46.42,1053.38,Médio Valor,2025-01-08,2025-01-11,3,True
ORD00041,2025-01-02,2025,Q1,1,Janeiro,Cliente_183,Ian Peixoto,Santo André,SP,Sudeste,P0008,Película de Vidro 3D Galaxy A30s,Acessórios Mobile,3,17.9,0.0815,4.38,49.32,Baixo Valor,2025-01-06,2025-01-03,-3,False
ORD00042,2025-01-02,2025,Q1,1,Janeiro,Cliente_185,Nina Jesus,Gurupi,TO,Norte,P0007,Película para iPhone 14Pro Anti impacto,Acessórios Mobile,3,51.8,0.0969,15.06,140.34,Baixo Valor,2025-01-08,2025-01-08,0,False
ORD00043,2025-01-02,2025,Q1,1,Janeiro,Cliente_213,Sra. Daniela Lima,São Bernardo do Campo,SP,Sudeste,P0012,"Soundbar Tomate MTS-2017, Bivolt",Áudio,1,769.9,0.0377,29.03,740.87,Médio Valor,2025-01-05,2025-01-04,-1,False
ORD00044,2025-01-02,2025,Q1,1,Janeiro,Cliente_218,Isabel Pereira,Vila Velha,ES,Sudeste,P0020,Teclado Mecanico Fizz,Informática,2,174.9,0.0756,26.44,323.36,Baixo Valor,2025-01-04,2025-01-03,-1,False
ORD00045,2025-01-02,2025,Q1,1,Janeiro,Cliente_244,Maria Vitória Martins,Rio de Janeiro,RJ,Sudeste,P0023,Tablet Lenovo Tab M11,Smartphones e Tablets,3,1399.9,0.0914,383.85,3815.85,Médio Valor,2025-01-08,2025-01-07,-1,False
ORD00046,2025-01-02,2025,Q1,1,Janeiro,Cliente_256,Daniela Fogaça,Florianópolis,SC,Sul,P0006,Fone de ouvido Sem Fio QCY T27,Áudio,4,129.86,0.0604,31.36,488.08,Baixo Valor,2025-01-09,2025-01-08,-1,False
ORD00047,2025-01-02,2025,Q1,1,Janeiro,Cliente_264,Sr. Noah da Paz,Itacoatiara,AM,Norte,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,3,124.91,0.0364,13.65,361.08,Baixo Valor,2025-01-08,2025-01-07,-1,False
ORD00048,2025-01-02,2025,Q1,1,Janeiro,Cliente_300,Dra. Maria Sophia Nogueira,Chapecó,SC,Sul,P0014,Projetor EPSON Powerlite Wide Screen,TV e Projeção,2,2742.13,0.1469,805.64,4678.62,Médio Valor,2025-01-08,2025-01-07,-1,False
ORD00049,2025-01-02,2025,Q1,1,Janeiro,Cliente_309,Dra. Ana Laura Pires,Itajaí,SC,Sul,P0015,Fone de Ouvido Profissional AKG K92,Áudio,3,428.99,0.1879,241.83,1045.14,Médio Valor,2025-01-04,2025-01-03,-1,False
ORD00050,2025-01-02,2025,Q1,1,Janeiro,Cliente_322,Ana Vitória Costela,Caxias do Sul,RS,Sul,P0010,"Smart TV LED 32""Samsung LED Tizen TV",TV e Projeção,2,1079.0,0.0664,143.3,2014.7,Médio Valor,2025-01-08,2025-01-08,0,False
ORD00051,2025-01-02,2025,Q1,1,Janeiro,Cliente_344,Davi da Rocha,Duque de Caxias,RJ,Sudeste,P0008,Película de Vidro 3D Galaxy A30s,Acessórios Mobile,2,17.9,0.0837,3.0,32.8,Baixo Valor,2025-01-05,2025-01-04,-1,False
ORD00052,2025-01-02,2025,Q1,1,Janeiro,Cliente_348,Emilly Nascimento,Uberlândia,MG,Sudeste,P0009,Smart TV 32” Philco LED Roku TV,TV e Projeção,3,949.0,0.0358,101.91,2745.09,Médio Valor,2025-01-07,2025-01-07,0,False
ORD00054,2025-01-02,2025,Q1,1,Janeiro,Cliente_360,Mariane Campos,Teresina,PI,Nordeste,P0006,Fone de ouvido Sem Fio QCY T27,Áudio,3,129.86,0.0733,28.56,361.02,Baixo Valor,2025-01-04,2025-01-04,0,False
ORD00055,2025-01-02,2025,Q1,1,Janeiro,Cliente_371,Ana Luiza Nunes,Joinville,SC,Sul,P0002,Samsung Galaxy Tab S6 Lite,Smartphones e Tablets,3,1799.01,0.1059,571.56,4825.47,Médio Valor,2025-01-06,2025-01-07,1,True
ORD00056,2025-01-02,2025,Q1,1,Janeiro,Cliente_371,Ana Luiza Nunes,Joinville,SC,Sul,P0010,"Smart TV LED 32""Samsung LED Tizen TV",TV e Projeção,3,1079.0,0.0427,138.21,3098.79,Médio Valor,2025-01-05,2025-01-04,-1,False
ORD00057,2025-01-02,2025,Q1,1,Janeiro,Cliente_374,Letícia da Cunha,Florianópolis,SC,Sul,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,3,124.91,0.0535,20.04,354.69,Baixo Valor,2025-01-05,2025-01-04,-1,False
ORD00058,2025-01-02,2025,Q1,1,Janeiro,Cliente_394,Eduardo Oliveira,Ribeirão Preto,SP,Sudeste,P0011,"Soundbar Samsung com 2.1 canais, Dolby Digital",Áudio,3,1072.0,0.1269,408.12,2807.88,Médio Valor,2025-01-07,2025-01-06,-1,False
ORD00059,2025-01-02,2025,Q1,1,Janeiro,Cliente_400,Ana Sophia da Rosa,Floriano,PI,Nordeste,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,2,124.91,0.0237,5.92,243.9,Baixo Valor,2025-01-07,2025-01-07,0,False
ORD00060,2025-01-02,2025,Q1,1,Janeiro,Cliente_404,João Gabriel Duarte,Gravataí,RS,Sul,P0012,"Soundbar Tomate MTS-2017, Bivolt",Áudio,2,769.9,0.0287,44.2,1495.6,Médio Valor,2025-01-07,2025-01-05,-2,False
ORD00061,2025-01-02,2025,Q1,1,Janeiro,Cliente_408,Maria Julia Duarte,Marabá,PA,Norte,P0004,Carregador Turbo Tipo-C 50w,Acessórios Mobile,4,53.9,0.0834,18.0,197.6,Baixo Valor,2025-01-09,2025-01-08,-1,False
ORD00062,2025-01-02,2025,Q1,1,Janeiro,Cliente_409,Eloah Silva,Sobral,CE,Nordeste,P0016,Fone de Ouvido Profissional EDIFIER WH950NB,Áudio,2,899.0,0.0407,73.18,1724.82,Médio Valor,2025-01-11,2025-01-10,-1,False
ORD00063,2025-01-02,2025,Q1,1,Janeiro,Cliente_418,Benício Monteiro,Nova Iguaçu,RJ,Sudeste,P0016,Fone de Ouvido Profissional EDIFIER WH950NB,Áudio,1,899.0,0.0381,34.25,864.75,Médio Valor,2025-01-07,2025-01-04,-3,False
ORD00064,2025-01-02,2025,Q1,1,Janeiro,Cliente_439,Stella Cunha,Nova Iguaçu,RJ,Sudeste,P0011,"Soundbar Samsung com 2.1 canais, Dolby Digital",Áudio,1,1072.0,0.092,98.62,973.38,Médio Valor,2025-01-06,2025-01-05,-1,False
ORD00065,2025-01-02,2025,Q1,1,Janeiro,Cliente_472,Francisco Fogaça,Vitória,ES,Sudeste,P0027,Caixa de Som Bluetooth JBL,Áudio,4,549.9,0.0428,94.16,2105.44,Médio Valor,2025-01-06,2025-01-06,0,False
ORD00066,2025-01-03,2025,Q1,1,Janeiro,Cliente_012,Dr. Arthur da Cunha,Caracaraí,RR,Norte,P0027,Caixa de Som Bluetooth JBL,Áudio,4,549.9,0.0461,101.4,2098.2,Médio Valor,2025-01-07,2025-01-08,1,True
ORD00067,2025-01-03,2025,Q1,1,Janeiro,Cliente_026,Ana Júlia Lima,Contagem,MG,Sudeste,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,3,124.91,0.0498,18.66,356.07,Baixo Valor,2025-01-08,2025-01-07,-1,False
ORD00068,2025-01-03,2025,Q1,1,Janeiro,Cliente_062,Rodrigo da Paz,Uberlândia,MG,Sudeste,P0017,ACER Notebook Gamer Nitro,Informática,1,4604.0,0.1601,737.1,3866.9,Médio Valor,2025-01-06,2025-01-05,-1,False
ORD00069,2025-01-03,2025,Q1,1,Janeiro,Cliente_139,Sr. Daniel Pinto,Nova Iguaçu,RJ,Sudeste,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,4,124.91,0.0302,15.08,484.56,Baixo Valor,2025-01-07,2025-01-06,-1,False
ORD00070,2025-01-03,2025,Q1,1,Janeiro,Cliente_163,Thiago Rodrigues,São Luís,MA,Nordeste,P0018,"Monitor UHD Samsung 32""",Informática,1,1626.57,0.0588,95.64,1530.93,Médio Valor,2025-01-09,2025-01-09,0,False
ORD00071,2025-01-03,2025,Q1,1,Janeiro,Cliente_182,Pedro Henrique Pinto,Parnaíba,PI,Nordeste,P0006,Fone de ouvido Sem Fio QCY T27,Áudio,4,129.86,0.0255,13.24,506.2,Médio Valor,2025-01-10,2025-01-11,1,True
ORD00072,2025-01-03,2025,Q1,1,Janeiro,Cliente_189,Cauã Almeida,Patos,PB,Nordeste,P0012,"Soundbar Tomate MTS-2017, Bivolt",Áudio,3,769.9,0.0429,99.09,2210.61,Médio Valor,2025-01-07,2025-01-11,4,True
ORD00073,2025-01-03,2025,Q1,1,Janeiro,Cliente_194,Pedro Gomes,Pelotas,RS,Sul,P0015,Fone de Ouvido Profissional AKG K92,Áudio,2,428.99,0.1367,117.28,740.7,Médio Valor,2025-01-07,2025-01-07,0,False
ORD00074,2025-01-03,2025,Q1,1,Janeiro,Cliente_196,Fernando Costa,Vila Velha,ES,Sudeste,P0015,Fone de Ouvido Profissional AKG K92,Áudio,3,428.99,0.2079,267.57,1019.4,Médio Valor,2025-01-07,2025-01-07,0,False
ORD00075,2025-01-03,2025,Q1,1,Janeiro,Cliente_218,Isabel Pereira,Vila Velha,ES,Sudeste,P0013,"Projetor Smart Epson EpiqVision, FULL HD",TV e Projeção,1,3049.99,0.11,335.5,2714.49,Médio Valor,2025-01-07,2025-01-09,2,True
ORD00076,2025-01-03,2025,Q1,1,Janeiro,Cliente_218,Isabel Pereira,Vila Velha,ES,Sudeste,P0018,"Monitor UHD Samsung 32""",Informática,1,1626.57,0.034,55.3,1571.27,Médio Valor,2025-01-09,2025-01-08,-1,False
ORD00077,2025-01-03,2025,Q1,1,Janeiro,Cliente_240,Esther Monteiro,Fortaleza,CE,Nordeste,P0011,"Soundbar Samsung com 2.1 canais, Dolby Digital",Áudio,3,1072.0,0.0667,214.5,3001.5,Médio Valor,2025-01-08,2025-01-06,-2,False
ORD00078,2025-01-03,2025,Q1,1,Janeiro,Cliente_242,Clarice Campos,Curitiba,PR,Sul,P0015,Fone de Ouvido Profissional AKG K92,Áudio,3,428.99,0.2064,265.62,1021.35,Médio Valor,2025-01-07,2025-01-08,1,True
ORD00079,2025-01-03,2025,Q1,1,Janeiro,Cliente_259,Melissa da Rocha,São Bernardo do Campo,SP,Sudeste,P0009,Smart TV 32” Philco LED Roku TV,TV e Projeção,4,949.0,0.0266,100.96,3695.04,Médio Valor,2025-01-07,2025-01-11,4,True
ORD00080,2025-01-03,2025,Q1,1,Janeiro,Cliente_298,Clara Gomes,Fortaleza,CE,Nordeste,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,1,124.91,0.0234,2.92,121.99,Baixo Valor,2025-01-05,2025-01-05,0,False
ORD00081,2025-01-03,2025,Q1,1,Janeiro,Cliente_300,Dra. Maria Sophia Nogueira,Chapecó,SC,Sul,P0021,SSD Crucial 1TB NVMe M.2,Informática,1,449.0,0.0248,11.14,437.86,Baixo Valor,2025-01-07,2025-01-11,4,True
ORD00082,2025-01-03,2025,Q1,1,Janeiro,Cliente_314,Nina Ramos,Laranjal do Jari,AP,Norte,P0013,"Projetor Smart Epson EpiqVision, FULL HD",TV e Projeção,2,3049.99,0.1175,716.74,5383.24,Alto Valor,2025-01-09,2025-01-13,4,True
ORD00083,2025-01-03,2025,Q1,1,Janeiro,Cliente_337,Benício Fernandes,Castanhal,PA,Norte,P0018,"Monitor UHD Samsung 32""",Informática,1,1626.57,0.0594,96.62,1529.95,Médio Valor,2025-01-07,2025-01-06,-1,False
ORD00084,2025-01-03,2025,Q1,1,Janeiro,Cliente_340,Bruno Cardoso,Gravataí,RS,Sul,P0020,Teclado Mecanico Fizz,Informática,3,174.9,0.1155,60.6,464.1,Baixo Valor,2025-01-06,2025-01-05,-1,False
ORD00085,2025-01-03,2025,Q1,1,Janeiro,Cliente_364,Evelyn Azevedo,Fortaleza,CE,Nordeste,P0013,"Projetor Smart Epson EpiqVision, FULL HD",TV e Projeção,4,3049.99,0.1311,1599.4,10600.56,Alto Valor,2025-01-09,2025-01-08,-1,False
ORD00086,2025-01-03,2025,Q1,1,Janeiro,Cliente_371,Ana Luiza Nunes,Joinville,SC,Sul,P0002,Samsung Galaxy Tab S6 Lite,Smartphones e Tablets,1,1799.01,0.1275,229.37,1569.64,Médio Valor,2025-01-07,2025-01-06,-1,False
ORD00087,2025-01-03,2025,Q1,1,Janeiro,Cliente_408,Maria Julia Duarte,Marabá,PA,Norte,P0012,"Soundbar Tomate MTS-2017, Bivolt",Áudio,2,769.9,0.0291,44.8,1495.0,Médio Valor,2025-01-08,2025-01-10,2,True
ORD00088,2025-01-03,2025,Q1,1,Janeiro,Cliente_408,Maria Julia Duarte,Marabá,PA,Norte,P0015,Fone de Ouvido Profissional AKG K92,Áudio,2,428.99,0.131,112.4,745.58,Médio Valor,2025-01-09,2025-01-13,4,True
ORD00089,2025-01-03,2025,Q1,1,Janeiro,Cliente_436,Daniel Carvalho,Itajaí,SC,Sul,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,2,124.91,0.0623,15.56,234.26,Baixo Valor,2025-01-10,2025-01-07,-3,False
ORD00090,2025-01-03,2025,Q1,1,Janeiro,Cliente_482,Vinicius Correia,Chapecó,SC,Sul,P0019,Mouse Redragon Wireless,Informática,1,165.99,0.1728,28.68,137.31,Baixo Valor,2025-01-09,2025-01-07,-2,False
ORD00091,2025-01-03,2025,Q1,1,Janeiro,Cliente_528,Thiago Mata Mendes,Niterói,RJ,Sudeste,P0024,Memória Kingston Fury 16GB DDR5,Informática,4,389.9,0.086,134.12,1425.48,Médio Valor,2025-01-07,2025-01-06,-1,False
ORD00092,2025-01-03,2025,Q1,1,Janeiro,Cliente_530,Pietra Farias Novaes,Juazeiro do Norte,CE,Nordeste,P0021,SSD Crucial 1TB NVMe M.2,Informática,4,449.0,0.0209,37.52,1758.48,Médio Valor,2025-01-08,2025-01-12,4,True
ORD00094,2025-01-03,2025,Q1,1,Janeiro,Cliente_545,Felipe Cardoso,Florianópolis,SC,Sul,P0003,Carregador Turbo USB-C 30W,Acessórios Mobile,4,49.9,0.067,13.36,186.24,Baixo Valor,2025-01-05,2025-01-04,-1,False
ORD00095,2025-01-04,2025,Q1,1,Janeiro,Cliente_006,Miguel Cardoso,Juazeiro,BA,Nordeste,P0027,Caixa de Som Bluetooth JBL,Áudio,2,549.9,0.0415,45.64,1054.16,Médio Valor,2025-01-11,2025-01-10,-1,False
ORD00096,2025-01-04,2025,Q1,1,Janeiro,Cliente_008,Thales Pereira,Cascavel,PR,Sul,P0015,Fone de Ouvido Profissional AKG K92,Áudio,1,428.99,0.1487,63.79,365.2,Baixo Valor,2025-01-07,2025-01-07,0,False
ORD00098,2025-01-04,2025,Q1,1,Janeiro,Cliente_050,Enzo Monteiro,Curitiba,PR,Sul,P0015,Fone de Ouvido Profissional AKG K92,Áudio,4,428.99,0.2329,399.64,1316.32,Médio Valor,2025-01-08,2025-01-10,2,True
ORD00099,2025-01-04,2025,Q1,1,Janeiro,Cliente_050,Enzo Monteiro,Curitiba,PR,Sul,P0024,Memória Kingston Fury 16GB DDR5,Informática,4,389.9,0.0451,70.32,1489.28,Médio Valor,2025-01-09,2025-01-09,0,False
ORD00100,2025-01-04,2025,Q1,1,Janeiro,Cliente_052,Ana Beatriz Freitas,Ponta Grossa,PR,Sul,P0002,Samsung Galaxy Tab S6 Lite,Smartphones e Tablets,2,1799.01,0.0951,342.18,3255.84,Médio Valor,2025-01-12,2025-01-12,0,False
ORD00101,2025-01-04,2025,Q1,1,Janeiro,Cliente_069,Levi da Rosa,Porto Nacional,TO,Norte,P0006,Fone de ouvido Sem Fio QCY T27,Áudio,2,129.86,0.0299,7.76,251.96,Baixo Valor,2025-01-09,2025-01-08,-1,False
ORD00102,2025-01-04,2025,Q1,1,Janeiro,Cliente_108,Sr. Eduardo Moreira,Recife,PE,Nordeste,P0001,Samsung Galaxy A36,Smartphones e Tablets,3,1979.1,0.123,730.29,5207.01,Alto Valor,2025-01-08,2025-01-07,-1,False
ORD00103,2025-01-04,2025,Q1,1,Janeiro,Cliente_108,Sr. Eduardo Moreira,Recife,PE,Nordeste,P0013,"Projetor Smart Epson EpiqVision, FULL HD",TV e Projeção,2,3049.99,0.1226,747.86,5352.12,Alto Valor,2025-01-09,2025-01-11,2,True
ORD00104,2025-01-04,2025,Q1,1,Janeiro,Cliente_119,Daniel Costa,Jaboatão dos Guararapes,PE,Nordeste,P0020,Teclado Mecanico Fizz,Informática,2,174.9,0.0819,28.64,321.16,Baixo Valor,2025-01-11,2025-01-11,0,False
ORD00105,2025-01-04,2025,Q1,1,Janeiro,Cliente_134,Juan da Luz,Blumenau,SC,Sul,P0011,"Soundbar Samsung com 2.1 canais, Dolby Digital",Áudio,1,1072.0,0.0593,63.57,1008.43,Médio Valor,2025-01-07,2025-01-06,-1,False
