id_venda,data_venda,id_cliente,nome_cliente,cidade,estado,regiao,id_produto,produto,categoria,quantidade,preco_unitario,desconto,previsao_entrega,data_entrega
ORD00029,2025-01-02,Cliente_012,Dr. Arthur da Cunha,Caracaraí,RR,Norte,P0015,Fone de Ouvido Profissional AKG K92,Áudio,4.0,428.99,0.2814,2025-01-08,2025-01-12
ORD00030,2025-01-02,Cliente_016,Sr. Thomas Nascimento,Tarauacá,AC,Norte,P0013,"Projetor Smart Epson EpiqVision, FULL HD",TV e Projeção,1.0,3049.99,0.0919,2025-01-06,2025-01-06
ORD00031,2025-01-02,Cliente_019,Gabriela da Paz,Uberlândia,MG,Sudeste,P0004,Carregador Turbo Tipo-C 50w,Acessórios Mobile,2.0,53.9,0.1592,2025-01-06,2025-01-10
ORD00032,2025-01-02,Cliente_036,Bryan Pires,Manacapuru,AM,Norte,P0014,Projetor EPSON Powerlite Wide Screen,TV e Projeção,2.0,2742.13,0.1577,2025-01-08,2025-01-07
ORD00033,2025-01-02,Cliente_043,Luiz Fernando Moura,Vilhena,RO,Norte,P0027,Caixa de Som Bluetooth JBL,Áudio,2.0,549.9,0.0572,2025-01-07,2025-01-07
ORD00034,2025-01-02,Cliente_045,Juan Mendes,Ji-Paraná,RO,Norte,P0008,Película de Vidro 3D Galaxy A30s,Acessórios Mobile,4.0,17.9,0.1232,2025-01-09,2025-01-11
ORD00035,2025-01-02,Cliente_061,Dr. Emanuel Fogaça,Porto Nacional,TO,Norte,P0006,Fone de ouvido Sem Fio QCY T27,Áudio,1.0,129.86,0.0483,2025-01-09,2025-01-12
ORD00036,2025-01-02,Cliente_082,Felipe Gomes,Caicó,RN,Nordeste,P0020,Teclado Mecanico Fizz,Informática,3.0,174.9,0.0937,2025-01-07,2025-01-08
ORD00037,2025-01-02,Cliente_100,Beatriz Costa,Bom Jesus,PI,Nordeste,P0011,"Soundbar Samsung com 2.1 canais, Dolby Digital",Áudio,3.0,1072.0,0.1403,2025-01-08,2025-01-08
ORD00038,2025-01-02,Cliente_123,Sra. Isabelly Oliveira,Ribeirão Preto,SP,Sudeste,P0019,Mouse Redragon Wireless,Informática,2.0,165.99,0.117,2025-01-08,2025-01-10
ORD00039,2025-01-02,Cliente_139,Sr. Daniel Pinto,Nova Iguaçu,RJ,Sudeste,P0015,Fone de Ouvido Profissional AKG K92,Áudio,1.0,428.99,0.145,2025-01-08,2025-01-07
ORD00040,2025-01-02,Cliente_172,Luiz Gustavo Rocha,Porto Alegre,RS,Sul,P0027,Caixa de Som Bluetooth JBL,Áudio,2.0,549.9,0.0422,2025-01-08,2025-01-11
ORD00041,2025-01-02,Cliente_183,Ian Peixoto,Santo André,SP,Sudeste,P0008,Película de Vidro 3D Galaxy A30s,Acessórios Mobile,3.0,17.9,0.0815,2025-01-06,2025-01-03
ORD00042,2025-01-02,Cliente_185,Nina Jesus,Gurupi,TO,Norte,P0007,Película para iPhone 14Pro Anti impacto,Acessórios Mobile,3.0,51.8,0.0969,2025-01-08,2025-01-08
ORD00043,2025-01-02,Cliente_213,Sra. Daniela Lima,São Bernardo do Campo,SP,Sudeste,P0012,"Soundbar Tomate MTS-2017, Bivolt",Áudio,1.0,769.9,0.0377,2025-01-05,2025-01-04
ORD00044,2025-01-02,Cliente_218,Isabel Pereira,Vila Velha,ES,Sudeste,P0020,Teclado Mecanico Fizz,Informática,2.0,174.9,0.0756,2025-01-04,2025-01-03
ORD00045,2025-01-02,Cliente_244,Maria Vitória Martins,Rio de Janeiro,RJ,Sudeste,P0023,Tablet Lenovo Tab M11,Smartphones e Tablets,3.0,1399.9,0.0914,2025-01-08,2025-01-07
ORD00046,2025-01-02,Cliente_256,Daniela Fogaça,Florianópolis,SC,Sul,P0006, Fone de ouvido Sem Fio QCY T27,Áudio,4.0,129.86,0.0604,2025-01-09,2025-01-08
ORD00047,2025-01-02,Cliente_264,Sr. Noah da Paz,Itacoatiara,AM,Norte,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,3.0,124.91,0.0364,2025-01-08,2025-01-07
ORD00048,2025-01-02,Cliente_300,Dra. Maria Sophia Nogueira,Chapecó,SC,Sul,P0014,Projetor EPSON Powerlite Wide Screen,TV e Projeção,2.0,2742.13,0.1469,2025-01-08,2025-01-07
ORD00049,2025-01-02,Cliente_309,Dra. Ana Laura Pires,Itajaí,SC,Sul,P0015,Fone de Ouvido Profissional AKG K92,Áudio,3.0,428.99,0.1879,2025-01-04,2025-01-03
ORD00050,2025-01-02,Cliente_322,Ana Vitória Costela,Caxias do Sul,RS,Sul,P0010,"Smart TV LED 32""Samsung LED Tizen TV",TV e Projeção ,2.0,1079.0,0.0664,2025-01-08,2025-01-08
ORD00051,2025-01-02,Cliente_344,Davi da Rocha,Duque de Caxias,RJ,Sudeste,P0008,Película de Vidro 3D Galaxy A30s,Acessórios Mobile,2.0,17.9,0.0837,2025-01-05,2025-01-04
ORD00052,2025-01-02,Cliente_348,Emilly Nascimento,Uberlândia,MG,Sudeste,P0009,Smart TV 32” Philco LED Roku TV,TV e Projeção,3.0,949.0,0.0358,2025-01-07,2025-01-07
ORD00053,2025-01-02,Cliente_360,Mariane Campos,Teresina,PI,Nordeste,P0006,Fone de ouvido Sem Fio QCY T27,Áudio,2.0,,0.0444,2025-01-07,2025-01-04
ORD00054,2025-01-02,Cliente_360,Mariane Campos,Teresina,PI,Nordeste,P0006,Fone de ouvido Sem Fio QCY T27,Áudio,3.0,129.86,0.0733,2025-01-04,2025-01-04
ORD00055,2025-01-02,Cliente371,Ana Luiza Nunes,Joinville,SC,Sul,P0002,Samsung Galaxy Tab S6 Lite,Smartphones e Tablets,3.0,1799.01,0.1059,2025-01-06,2025-01-07
ORD00056,2025-01-02,Cliente_371,Ana Luiza Nunes,Joinville,SC,Sul,P0010,"Smart TV LED 32""Samsung LED Tizen TV",TV e Projeção,3.0,1079.0,0.0427,2025-01-05,2025-01-04
ORD00057,2025-01-02,Cliente_374,Letícia da Cunha,Florianópolis,SC,Sul,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,3.0,124.91,0.0535,2025-01-05,2025-01-04
ORD00058,2025-01-02,Cliente_394,Eduardo Oliveira,Ribeirão Preto,SP,Sudeste,P0011,"Soundbar Samsung com 2.1 canais, Dolby Digital",Áudio,3.0,1072.0,0.1269,2025-01-07,2025-01-06
ORD00059,2025-01-02,Cliente_400,Ana Sophia da Rosa,Floriano,PI,Nordeste,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,2.0,124.91,0.0237,2025-01-07,2025-01-07
ORD00060,2025-01-02,Cliente_404,João Gabriel Duarte,Gravataí,RS,Sul,P0012,"Soundbar Tomate MTS-2017, Bivolt",Áudio,2.0,769.9,0.0287,2025-01-07,2025-01-05
ORD00061,2025-01-02,Cliente_408,Maria Julia Duarte,Marabá,PA,Norte,P0004,Carregador Turbo Tipo-C 50w,Acessórios Mobile,4.0,53.9,0.0834,2025-01-09,2025-01-08
ORD00062,2025-01-02,Cliente_409,Eloah Silva,Sobral,CE,Nordeste,P0016,Fone de Ouvido Profissional EDIFIER WH950NB,Áudio,2.0,899.0,0.0407,2025-01-11,2025-01-10
ORD00063,2025-01-02,Cliente_418,Benício Monteiro,Nova Iguaçu,RJ,Sudeste,P0016,Fone de Ouvido Profissional EDIFIER WH950NB,Áudio,1.0,899.0,0.0381,2025-01-07,2025-01-04
ORD00064,2025-01-02,Cliente_439,Stella Cunha,Nova Iguaçu,RJ,Sudeste,P0011,"Soundbar Samsung com 2.1 canais, Dolby Digital",Áudio,1.0,1072.0,0.092,2025-01-06,2025-01-05
ORD00065,2025-01-02,Cliente_472,Francisco Fogaça,Vitória,ES,Sudeste,P0027,Caixa de Som Bluetooth JBL,Áudio,4.0,549.9,0.0428,2025-01-06,2025-01-06
ORD00066,2025-01-03,Cliente_012,Dr. Arthur da Cunha,Caracaraí,RR,Norte,P0027,Caixa de Som Bluetooth JBL,Áudio,4.0,549.9,0.0461,2025-01-07,2025-01-08
ORD00067,2025-01-03,Cliente_026,Ana Júlia Lima,Contagem,MG,Sudeste,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,3.0,124.91,0.0498,2025-01-08,2025-01-07
ORD00068,2025-01-03,Cliente_062,Rodrigo da Paz,Uberlândia,MG,Sudeste,P0017,ACER Notebook Gamer Nitro,Informática,1.0,4604.0,0.1601,2025-01-06,2025-01-05
ORD00069,2025-01-03,Cliente_139,Sr. Daniel Pinto,Nova Iguaçu,RJ,Sudeste,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,4.0,124.91,0.0302,2025-01-07,2025-01-06
ORD00070,2025-01-03,Cliente_163,Thiago Rodrigues,São Luís,MA,Nordeste,P0018,"Monitor UHD Samsung 32""",Informática,1.0,1626.57,0.0588,2025-01-09,2025-01-09
ORD00071,2025-01-03,Cliente_182,Pedro Henrique Pinto,Parnaíba,PI,Nordeste,P0006,Fone de ouvido Sem Fio QCY T27,Áudio,4.0,129.86,0.0255,2025-01-10,2025-01-11
ORD00072,2025-01-03,Cliente_189,Cauã Almeida,Patos,PB,Nordeste,P0012,"Soundbar Tomate MTS-2017, Bivolt",Áudio,3.0,769.9,0.0429,2025-01-07,2025-01-11
ORD00073,2025-01-03,Cliente_194,Pedro Gomes,Pelotas,RS,Sul,P0015,Fone de Ouvido Profissional AKG K92,Áudio,2.0,428.99,0.1367,2025-01-07,2025-01-07
ORD00074,2025-01-03,Cliente_196,Fernando Costa,Vila Velha,ES,Sudeste,P0015,Fone de Ouvido Profissional AKG K92,Áudio,3.0,428.99,0.2079,2025-01-07,2025-01-07
ORD00075,2025-01-03,Cliente_218,Isabel Pereira,Vila Velha,ES,Sudeste,P0013,"Projetor Smart Epson EpiqVision, FULL HD",TV e Projeção,1.0,3049.99,0.11,2025-01-07,2025-01-09
ORD00076,2025-01-03,Cliente_218,Isabel Pereira,Vila Velha,ES,Sudeste,P0018,"Monitor UHD Samsung 32""",Informática,1.0,1626.57,0.034,2025-01-09,2025-01-08
ORD00077,2025-01-03,Cliente_240,Esther Monteiro,Fortaleza,CE,Nordeste,P0011,"Soundbar Samsung com 2.1 canais, Dolby Digital",Áudio,3.0,1072.0,0.0667,2025-01-08,2025-01-06
ORD00078,2025-01-03,Cliente_242,Clarice Campos,Curitiba,PR,Sul,P0015,Fone de Ouvido Profissional AKG K92,Áudio,3.0,428.99,0.2064,2025-01-07,2025-01-08
ORD00079,2025-01-03,Cliente_259,Melissa da Rocha,São Bernardo do Campo,SP,Sudeste,P0009,Smart TV 32” Philco LED Roku TV,TV e Projeção,4.0,949.0,0.0266,2025-01-07,2025-01-11
ORD00080,2025-01-03,Cliente_298,Clara Gomes,Fortaleza,CE,Nordeste,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,1.0,124.91,0.0234,2025-01-05,2025-01-05
ORD00081,2025-01-03,Cliente_300,Dra. Maria Sophia Nogueira,Chapecó,SC,Sul,P0021,SSD Crucial 1TB NVMe M.2,Informática,1.0,449.0,0.0248,2025-01-07,2025-01-11
ORD00082,2025-01-03,Cliente_314,Nina Ramos,Laranjal do Jari,AP,Norte,P0013,"Projetor Smart Epson EpiqVision, FULL HD",TV e Projeção,2.0,3049.99,0.1175,2025-01-09,2025-01-13
ORD00083,2025-01-03,Cliente_337,Benício Fernandes,Castanhal,PA,Norte,P0018,"Monitor UHD Samsung 32""",Informática,1.0,1626.57,0.0594,2025-01-07,2025-01-06
ORD00084,2025-01-03,Cliente_340,Bruno Cardoso,Gravataí,RS,Sul,P0020,Teclado Mecanico Fizz,Informática,3.0,174.9,0.1155,2025-01-06,2025-01-05
ORD00085,2025-01-03,Cliente_364,Evelyn Azevedo,Fortaleza,CE,Nordeste,P0013,"Projetor Smart Epson EpiqVision, FULL HD",TV e Projeção,4.0,3049.99,0.1311,2025-01-09,2025-01-08
ORD00086,2025-01-03,Cliente_371,Ana Luiza Nunes,Joinville,SC,Sul,P0002,Samsung Galaxy Tab S6 Lite,Smartphones e Tablets,1.0,1799.01,0.1275,2025-01-07,2025-01-06
ORD00087,2025-01-03,Cliente_408,Maria Julia Duarte,Marabá,PA,Norte,P0012,"Soundbar Tomate MTS-2017, Bivolt",Áudio,2.0,769.9,0.0291,2025-01-08,2025-01-10
ORD00088,2025-01-03,Cliente_408,Maria Julia Duarte,Marabá,PA,Norte,P0015,Fone de Ouvido Profissional AKG K92,Áudio,2.0,428.99,0.131,2025-01-09,2025-01-13
ORD00089,2025-01-03,Cliente_436,Daniel Carvalho,Itajaí,SC,Sul,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,2.0,124.91,0.0623,2025-01-10,2025-01-07
ORD00090,2025-01-03,Cliente_482,Vinicius Correia,Chapecó,SC,Sul,P0019,Mouse Redragon Wireless,Informática,1.0,165.99,0.1728,2025-01-09,2025-01-07
ORD00091,2025-01-03,Cliente_528,Thiago Mata Mendes,Niterói,RJ,Sudeste,P0024,Memória Kingston Fury 16GB DDR5,Informática,4.0,389.9,0.086,2025-01-07,2025-01-06
ORD00092,2025-01-03,Cliente_530,Pietra Farias Novaes,Juazeiro do Norte,CE,Nordeste,P0021,SSD Crucial 1TB NVMe M.2,Informática,4.0,449.0,0.0209,2025-01-08,2025-01-12
ORD00093,2025-01-03,Cliente_533,Sophia Gonçalves Teixeira,Recife,PE,Nordeste,P0008,Película de Vidro 3D Galaxy A30s,Acessórios Mobile,,17.9,0.1384,2025-01-10,2025-01-09
ORD00094,2025-01-03,Cliente_545,Felipe Cardoso,Florianópolis,SC,Sul,P0003,Carregador Turbo USB-C 30W,Acessórios Mobile,4.0,49.9,0.067,2025-01-05,2025-01-04
ORD00095,2025-01-04,Cliente_006,Miguel Cardoso,Juazeiro,BA,Nordeste,P0027,Caixa de Som Bluetooth JBL,Áudio,2.0,549.9,0.0415,2025-01-11,2025-01-10
ORD00096,2025-01-04,Cliente_008,Thales Pereira,Cascavel,PR,Sul,P0015,Fone de Ouvido Profissional AKG K92,Áudio,1.0,428.99,0.1487,2025-01-07,2025-01-07
ORD00097,2025-01-04,Cliente_040,Renan Silveira,Propriá,SE,Nordeste,P0008,Película de Vidro 3D Galaxy A30s,Acessórios Mobile,,17.9,0.1608,2025-01-07,2025-01-10
ORD00098,2025-01-04,Cliente_050,Enzo Monteiro,Curitiba,PR,Sul,P0015,Fone de Ouvido Profissional AKG K92,Áudio,4.0,428.99,0.2329,2025-01-08,2025-01-10
ORD00099,2025-01-04,Cliente_050,Enzo Monteiro,Curitiba,PR,Sul,P0024,Memória Kingston Fury 16GB DDR5,Informática,4.0,389.9,0.0451,2025-01-09,2025-01-09
ORD00100,2025-01-04,Cliente_052,Ana Beatriz Freitas,Ponta Grossa,PR,Sul,P0002,Samsung Galaxy Tab S6 Lite,Smartphones e Tablets,2.0,1799.01,0.0951,2025-01-12,2025-01-12
ORD00101,2025-01-04,Cliente_069,Levi da Rosa,Porto Nacional,TO,Norte,P0006,Fone de ouvido Sem Fio QCY T27,Áudio,2.0,129.86,0.0299,2025-01-09,2025-01-08
ORD00102,2025-01-04,Cliente_108,Sr. Eduardo Moreira,Recife,PE,Nordeste,P0001,Samsung Galaxy A36,Smartphones e Tablets,3.0,1979.1,0.123,2025-01-08,2025-01-07
ORD00103,2025-01-04,Cliente_108,Sr. Eduardo Moreira,Recife,PE,Nordeste,P0013,"Projetor Smart Epson EpiqVision, FULL HD",TV e Projeção,2.0,3049.99,0.1226,2025-01-09,2025-01-11
ORD00104,2025-01-04,Cliente_119,Daniel Costa,Jaboatão dos Guararapes,PE,Nordeste,P0020,Teclado Mecanico Fizz,Informática,2.0,174.9,0.0819,2025-01-11,2025-01-11
ORD00105,2025-01-04,Cliente_134!!,Juan da Luz,Blumenau,SC,Sul,P0011,"Soundbar Samsung com 2.1 canais, Dolby Digital",Áudio,1.0,1072.0,0.0593,2025-01-07,2025-01-06
ORD00106,2025-01-04,Cliente_135,Eduardo Pires,Contagem,MG,Sudeste,P0025,Webcam Logitech Full HD,Informática,1.0,329.9,0.0508,2025-01-07,2025-01-07
ORD00107,2025-01-04,Cliente_153,Enrico Dias,Manacapuru,AM,Norte,P0010,"Smart TV LED 32""Samsung LED Tizen TV",TV e Projeção,2.0,1079.0,0.0999,2025-01-10,2025-01-13
ORD00108,2025-01-04,Cliente_165,Maria Fernanda Teixeira,Duque de Caxias,RJ,Sudeste,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,4.0,124.91,0.028,2025-01-07,2025-01-05
ORD00109,2025-01-04,Cliente_167,Sophie da Cruz,Caucaia,CE,Nordeste,P0002,Samsung Galaxy Tab S6 Lite,Smartphones e Tablets,3.0,1799.01,0.0789,2025-01-08,2025-01-08
ORD00110,2025-01-04,Cliente_198,Sr. André Castro,Lagarto,SE,Nordeste,P0009,Smart TV 32” Philco LED Roku TV,TV e Projeção,3.0,949.0,0.0308,2025-01-10,2025-01-10
ORD00111,2025-01-04,Cliente_230,Maria Nogueira,Bayeux,PB,Nordeste,P0006,Fone de ouvido Sem Fio QCY T27,Áudio,1.0,129.86,0.0508,2025-01-11,2025-01-12
ORD00112,2025-01-04,Cliente_252,Sr. Isaac Melo,Itajaí,SC,Sul,P0006,Fone de ouvido Sem Fio QCY T27,Áudio,1.0,129.86,0.038,2025-01-09,2025-01-09
ORD00113,2025-01-04,Cliente_255,Anthony Pires,Caxias do Sul,RS,Sul,P0008,Película de Vidro 3D Galaxy A30s,Acessórios Mobile,2.0,17.9,0.0689,2025-01-08,2025-01-15
ORD00114,2025-01-04,Cliente_273,Leonardo Melo,Sobral,CE,Nordeste,P0013,"Projetor Smart Epson EpiqVision, FULL HD",TV e Projeção,2.0,3049.99,0.18,2025-01-09,2025-01-07
ORD00115,2025-01-04,Cliente_300,Dra. Maria Sophia Nogueira,Chapecó,SC,Sul,P0004,Carregador Turbo Tipo-C 50w,Acessórios Mobile,1.0,53.9,0.0923,2025-01-08,2025-01-07
ORD00116,2025-01-04,Cliente_307,Caroline Silveira,Ji-Paraná,RO,Norte,P0027,Caixa de Som Bluetooth JBL,Áudio,3.0,549.9,0.0567,2025-01-07,2025-01-07
ORD00117,2025-01-04,Cliente_323,Dr. João Pedro Carvalho,Boa Vista,RR,Norte,P0017,ACER Notebook Gamer Nitro,Informática,2.0,4604.0,0.075,2025-01-11,2025-01-11
ORD00118,2025-01-04,Cliente_332,Júlia Moraes,São Bernardo do Campo,SP,Sudeste,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,2.0,124.91,0.0282,2025-01-08,2025-01-11
ORD00119,2025-01-04,Cliente_337,Benício Fernandes,Castanhal,PA,Norte,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,3.0,124.91,0.0266,2025-01-08,2025-01-08
ORD00120,2025-01-04,Cliente_484,Rafael Novaes Nogueira,Santa Maria,RS,Sul,P0004,Carregador Turbo Tipo-C 50w,Acessórios Mobile,4.0,53.9,0.1515,2025-01-06,2025-01-08
ORD00121,2025-01-04,Cliente_484,Rafael Novaes Nogueira,Santa Maria,RS,Sul,P0006,Fone de ouvido Sem Fio QCY T27,Áudio,2.0,129.86,0.0733,2025-01-09,2025-01-10
ORD00122,2025-01-04,Cliente_521,Lívia Ferreira,Gravataí,RS,Sul,P0013,"Projetor Smart Epson EpiqVision, FULL HD",TV e Projeção,1.0,3049.99,0.1286,2025-01-11,2025-01-08
ORD00123,2025-01-04,Cliente_528,Thiago Mata Mendes,Niterói,RJ,Sudeste,P0024,Memória Kingston Fury 16GB DDR5,Informática,1.0,389.9,0.0422,2025-01-09,2025-01-14
ORD00124,2025-01-05,Cliente_008,Thales Pereira,Cascavel,PR,Sul,P0019,Mouse Redragon Wireless,Informática,3.0,165.99,0.3374,2025-01-11,2025-01-10
ORD00125,2025-01-05,Cliente_030,João Lucas da Costa,Joinville,SC,Sul,P0003,Carregador Turbo USB-C 30W,Acessórios Mobile,2.0,49.9,0.0483,2025-01-11,2025-01-14
ORD00126,2025-01-05,Cliente_040,Renan Silveira,Propriá,SE,Nordeste,P0015,Fone de Ouvido Profissional AKG K92,Áudio,1.0,428.99,0.1317,2025-01-11,2025-01-10
ORD00127,2025-01-05,Cliente_065,Letícia Porto,Santana,AP,Norte,P0027,Caixa de Som Bluetooth JBL,Áudio,1.0,549.9,0.0416,2025-01-12,2025-01-13
ORD00128,2025-01-05,Cliente_101,Francisco Barbosa,Pelotas,RS,Sul,P0009,Smart TV 32” Philco LED Roku TV,TV e Projeção,4.0,949.0,0.0256,2025-01-08,2025-01-12
ORD00129,2025-01-05,Cliente_133,Isadora Novaes,Cachoeiro de Itapemirim,ES,Sudeste,P0006,Fone de ouvido Sem Fio QCY T27,Áudio,1.0,129.86,0.0387,2025-01-09,2025-01-08
ORD00130,2025-01-05,Cliente_156,Lívia da Rocha,Cacoal,RO,Norte,P0020,Teclado Mecanico Fizz,Informática,2.0,174.9,0.0522,2025-01-11,2025-01-09
ORD00131,2025-01-05,Cliente_179,Ana Vitória da Rocha,São Paulo,SP,Sudeste,P0008,Película de Vidro 3D Galaxy A30s,Acessórios Mobile,3.0,17.9,0.1078,2025-01-10,2025-01-09
ORD00132,2025-01-05,Cliente_180,Vicente Jesus,Niterói,RJ,Sudeste,P0017,ACER Notebook Gamer Nitro,Informática,1.0,4604.0,0.0996,2025-01-08,2025-01-07
ORD00133,2025-01-05,Cliente_195,Maria Luiza da Conceição,Belém,PA,Norte,P0013,"Projetor Smart Epson EpiqVision, FULL HD",TV e Projeção,2.0,3049.99,0.2058,2025-01-12,2025-01-10
ORD00134,2025-01-05,Cliente_211,Srta. Natália Cardoso,Cruzeiro do Sul,AC,Norte,P0019,Mouse Redragon Wireless,Informática,2.0,165.99,0.1305,2025-01-10,2025-01-10
